raw_col_name,col_name,question_text,qualtrics_imoport_id,data_type,recode_values,allow_televisibility,allow_harm,no_allow_televisibility,no_allow_harm
StartDate,StartDate,Start Date,"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}",datetime,N/A,N/A,N/A,N/A,N/A
EndDate,EndDate,End Date,"{""ImportId"":""endDate"",""timeZone"":""America/Denver""}",datetime,N/A,N/A,N/A,N/A,N/A
Status,Status,Response Type,"{""ImportId"":""status""}",str,N/A,N/A,N/A,N/A,N/A
IPAddress,IPAddress,IP Address,"{""ImportId"":""ipAddress""}",ip_address,N/A,N/A,N/A,N/A,N/A
Progress,Progress,Progress,"{""ImportId"":""progress""}",int,N/A,N/A,N/A,N/A,N/A
Duration (in seconds),Duration (in seconds),Duration (in seconds),"{""ImportId"":""duration""}",int,N/A,N/A,N/A,N/A,N/A
Finished,Finished,Finished,"{""ImportId"":""finished""}",boolean,N/A,N/A,N/A,N/A,N/A
RecordedDate,RecordedDate,Recorded Date,"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}",datetime,N/A,N/A,N/A,N/A,N/A
ResponseId,ResponseId,Response ID,"{""ImportId"":""_recordId""}",str,N/A,N/A,N/A,N/A,N/A
RecipientLastName,RecipientLastName,Recipient Last Name,"{""ImportId"":""recipientLastName""}",str,N/A,N/A,N/A,N/A,N/A
RecipientFirstName,RecipientFirstName,Recipient First Name,"{""ImportId"":""recipientFirstName""}",str,N/A,N/A,N/A,N/A,N/A
RecipientEmail,RecipientEmail,Recipient Email,"{""ImportId"":""recipientEmail""}",str,N/A,N/A,N/A,N/A,N/A
ExternalReference,ExternalReference,External Data Reference,"{""ImportId"":""externalDataReference""}",,N/A,N/A,N/A,N/A,N/A
LocationLatitude,LocationLatitude,Location Latitude,"{""ImportId"":""locationLatitude""}",float,N/A,N/A,N/A,N/A,N/A
LocationLongitude,LocationLongitude,Location Longitude,"{""ImportId"":""locationLongitude""}",float,N/A,N/A,N/A,N/A,N/A
DistributionChannel,DistributionChannel,Distribution Channel,"{""ImportId"":""distributionChannel""}",str,N/A,N/A,N/A,N/A,N/A
UserLanguage,UserLanguage,User Language,"{""ImportId"":""userLanguage""}",str,N/A,N/A,N/A,N/A,N/A
Demographics 1,credential,Which best describes your professional credential? - Selected Choice,"{""ImportId"":""QID1""}",categorical,"{'BCBA-D':1, 'BCBA':2, 'BCaBA':3, 'RBT':4, 'Seeking certification':5, 'Other':6}",N/A,N/A,N/A,N/A
Demographics 1_6_TEXT,credential_other,Which best describes your professional credential? - Other - Text,"{""ImportId"":""QID1_6_TEXT""}",str,N/A,N/A,N/A,N/A,N/A
Demographics 2,date_certified,Please write the date that you become a certified behavior analyst (if applicable)?,"{""ImportId"":""QID5_TEXT""}",str,N/A,N/A,N/A,N/A,N/A
Demographics 3,years_experience_aba,How many years of clinical experience do you have with ABA?,"{""ImportId"":""QID6_TEXT""}",int,N/A,N/A,N/A,N/A,N/A
Demographics 4,age,What is your age?,"{""ImportId"":""QID7_TEXT""}",int,N/A,N/A,N/A,N/A,N/A
Demographics 5,race_identify,Choose one or more races that you consider yourself to be: - Selected Choice,"{""ImportId"":""QID8""}",categorical,"{'White':1, 'Black or African American':2, 'American Indian or Alaska Native':3, 'Asian':4, 'Native Hawaiian or Pacific Islander':5, 'Other':6}",N/A,N/A,N/A,N/A
Demographics 5_6_TEXT,race_identify_other,Choose one or more races that you consider yourself to be: - Other - Text,"{""ImportId"":""QID8_6_TEXT""}",str,N/A,N/A,N/A,N/A,N/A
Demographics 6,gender,What is your gender? - Selected Choice,"{""ImportId"":""QID9""}",categorical,"{'Male':1, 'Female':2', 'Non-binary':3, 'Transgender':4, 'Intersex':5, 'Other':6, 'Prefer not to say':7}",N/A,N/A,N/A,N/A
Demographics 6_9_TEXT,gender_other,What is your gender? - Other - Text,"{""ImportId"":""QID9_9_TEXT""}",str,N/A,N/A,N/A,N/A,N/A
Demographics 7,work_setting,What type of setting do you currently work in (check all that apply)? - Selected Choice,"{""ImportId"":""QID10""}",str,"{'Clinic':1, 'Home':2, 'School':3', 'Residential', 4, 'Other':5}",N/A,N/A,N/A,N/A
Demographics 7_5_TEXT,work_setting_other,What type of setting do you currently work in (check all that apply)? - Other - Text,"{""ImportId"":""QID10_5_TEXT""}",str,N/A,N/A,N/A,N/A,N/A
Demographics 8,client_ages,What are the ages of clients/students for whom you typically provide services (check all that apply)? - Selected Choice,"{""ImportId"":""QID15""}",ordinal,"{'05-':1, '6-10':2, '11-20':3, '21+':4, 'Other':5}",N/A,N/A,N/A,N/A
Demographics 8_5_TEXT,client_ages_other,What are the ages of clients/students for whom you typically provide services (check all that apply)? - Other - Text,"{""ImportId"":""QID15_5_TEXT""}",str,N/A,N/A,N/A,N/A,N/A
Demographics 9,populations_work,What populations do you typically work with (check all that apply)? - Selected Choice,"{""ImportId"":""QID16""}",categorical,"{'Autism Spectrum Disorder':1, 'Disabilities other than Autism Spectrum Disorder':2, 'Other (please separate populations with a semi-colon (e.g., athletes; substance use disorders; etc.)':3}",N/A,N/A,N/A,N/A
Demographics 9_3_TEXT,populations_work_other,"What populations do you typically work with (check all that apply)? - Other (please separate populations with a semi-colon (e.g., athletes; substance use disorders, etc.) - Text","{""ImportId"":""QID16_3_TEXT""}",str,N/A,N/A,N/A,N/A,N/A
LT-A1,low_low_low_low,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a low probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a low probability of being televisible and a low probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID18""}",boolean,"{'Yes':1, 'No':2}",low,low,low,low
LT-A2,low_low_med_low,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a low probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a medium probability of being televisible and a low probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID19""}",boolean,"{'Yes':1, 'No':2}",low,low,med,low
LT-A3,low_low_high_low,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a low probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a high probability of being televisible and a low probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID20""}",boolean,"{'Yes':1, 'No':2}",low,low,high,low
LT-A4,low_low_low_med,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a low probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a low probability of being televisible and a medium probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID21""}",boolean,"{'Yes':1, 'No':2}",low,low,low,med
LT-A5,low_low_med_med,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a low probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a medium probability of being televisible and a medium probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID22""}",boolean,"{'Yes':1, 'No':2}",low,low,med,med
LT-A6,low_low_high_med,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a low probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a high probability of being televisible and a medium probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID23""}",boolean,"{'Yes':1, 'No':2}",low,low,high,med
LT-A7,low_low_low_high,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a low probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a low probability of being televisible and a high probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID24""}",boolean,"{'Yes':1, 'No':2}",low,low,low,high
